GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pprog_M1,com.mycompany.pprog_m1,AtletaAmador,27,32,0,2,7,6,5,4,5,3
pprog_M1,com.mycompany.pprog_m1,AtletaMain,259,0,0,0,46,0,3,0,3,0
pprog_M1,com.mycompany.pprog_m1,ClubeDesportivo,179,68,15,3,35,21,18,7,10,6
pprog_M1,com.mycompany.pprog_m1,Atleta,232,33,14,0,53,11,28,3,21,3
pprog_M1,com.mycompany.pprog_m1,AtletaNaoPro,39,51,3,7,11,10,7,5,4,3
pprog_M1,com.mycompany.pprog_m1,AtletaPro,38,36,0,0,13,7,7,5,7,5
pprog_M1,com.mycompany.pprog_m1,ClubeDesportivo.new Comparator() {...},13,0,0,0,2,0,2,0,2,0
pprog_M1,com.mycompany.pprog_m1,ClubeDesportivo.new Comparator() {...},38,0,4,0,6,0,4,0,2,0
pprog_M1,com.mycompany.pprog_m1,AtletaSemi,42,14,0,0,10,3,7,2,7,2
